Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-33.0,-88.0,19.0,5.96,2835,0.97,0.96,0.74
2,42.0,-73.0,-14.0,5.96,8478,0.99,0.99,0.91
2a,42.0,-82.0,10.0,5.55,,,,
2b,39.0,-85.0,-8.0,5.01,,,,
2c,30.0,-61.0,-14.0,4.75,,,,
3,-54.0,-34.0,1.0,4.96,162,0.67,0.33,0.00
4,36.0,-49.0,-23.0,4.77,108,0.25,0.00,0.00
5,-15.0,-100.0,1.0,4.66,54,0.00,0.00,0.00
6,-27.0,-49.0,-8.0,4.58,54,0.00,0.00,0.00
7,33.0,-55.0,-14.0,4.53,27,0.00,0.00,0.00
8,36.0,-52.0,-14.0,4.52,27,0.00,0.00,0.00
