Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,15.0,-52.0,13.0,9.07,3213,0.98,0.97,0.77
2,-15.0,-58.0,13.0,8.15,2430,0.97,0.96,0.70
3,30.0,-40.0,-11.0,7.46,5400,0.98,0.98,0.86
3a,33.0,-22.0,-26.0,5.16,,,,
4,-27.0,-43.0,-11.0,6.91,5751,0.99,0.98,0.87
4a,-27.0,-22.0,-23.0,5.36,,,,
4b,-36.0,-25.0,-29.0,4.68,,,,
5,-33.0,-82.0,34.0,5.66,2862,0.97,0.96,0.75
6,36.0,-82.0,25.0,5.36,1566,0.95,0.93,0.53
6a,36.0,-76.0,37.0,4.90,,,,
7,-9.0,-37.0,43.0,4.99,324,0.75,0.67,0.00
8,-21.0,-73.0,-14.0,4.70,162,0.50,0.50,0.00
8a,-27.0,-70.0,-20.0,4.70,,,,
9,24.0,-19.0,-23.0,4.60,27,0.00,0.00,0.00
10,12.0,-46.0,46.0,4.53,27,0.00,0.00,0.00
