Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,-33.0,-88.0,19.0,5.96,5238.0,194.0,0.85,0.95,0.84,0.96
1a,-27.0,-94.0,4.0,4.2,,,,,,
2,42.0,-73.0,-14.0,5.96,16308.0,604.0,0.95,0.98,0.95,0.99
2a,42.0,-82.0,10.0,5.55,,,,,,
2b,39.0,-85.0,-8.0,5.01,,,,,,
2c,36.0,-49.0,-23.0,4.77,,,,,,
3,-54.0,-34.0,1.0,4.96,351.0,13.0,0.31,0.38,0.0,0.46
4,-15.0,-100.0,1.0,4.66,270.0,10.0,0.0,0.2,0.0,0.4
5,-27.0,-49.0,-8.0,4.58,1080.0,40.0,0.35,0.78,0.25,0.82
5a,-27.0,-67.0,-8.0,4.27,,,,,,
6,24.0,-40.0,-17.0,4.22,243.0,9.0,0.0,0.0,0.0,0.22
7,-33.0,-70.0,-17.0,4.17,297.0,11.0,0.0,0.09,0.0,0.27
8,21.0,-73.0,46.0,4.07,135.0,5.0,0.0,0.0,0.0,0.0
9,-24.0,-88.0,-2.0,4.05,27.0,1.0,0.0,0.0,0.0,0.0
