Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,27.0,-94.0,-5.0,9.87,69741.0,2583.0,0.92,0.97,0.97,0.97
1a,39.0,-43.0,-20.0,9.56,,,,,,
1b,-24.0,-97.0,-8.0,9.2,,,,,,
1c,-39.0,-46.0,-20.0,9.05,,,,,,
2,-18.0,-4.0,-17.0,8.23,5508.0,204.0,0.61,0.72,0.69,0.74
2a,-27.0,11.0,-26.0,6.03,,,,,,
2b,-30.0,2.0,-23.0,5.98,,,,,,
3,18.0,-4.0,-14.0,7.95,5508.0,204.0,0.7,0.78,0.71,0.8
3a,33.0,5.0,-20.0,6.1,,,,,,
4,33.0,-7.0,-32.0,6.27,2160.0,80.0,0.51,0.64,0.38,0.65
5,45.0,29.0,19.0,5.76,7533.0,279.0,0.63,0.78,0.77,0.79
5a,36.0,11.0,31.0,4.79,,,,,,
6,-33.0,-7.0,-32.0,5.37,864.0,32.0,0.31,0.41,0.0,0.44
7,51.0,-7.0,-14.0,5.11,675.0,25.0,0.16,0.36,0.0,0.4
8,-39.0,-37.0,43.0,5.11,2430.0,90.0,0.24,0.47,0.3,0.49
9,33.0,38.0,-11.0,5.01,1053.0,39.0,0.21,0.31,0.0,0.33
10,-42.0,26.0,16.0,4.98,1161.0,43.0,0.05,0.23,0.0,0.28
10a,-54.0,32.0,19.0,4.36,,,,,,
11,-45.0,-67.0,1.0,4.79,1026.0,38.0,0.13,0.24,0.0,0.29
12,-39.0,14.0,28.0,4.76,972.0,36.0,0.08,0.17,0.0,0.22
13,57.0,-22.0,34.0,4.4,675.0,25.0,0.0,0.0,0.0,0.0
14,-33.0,32.0,-14.0,4.11,243.0,9.0,0.0,0.0,0.0,0.0
15,6.0,-1.0,-17.0,4.08,81.0,3.0,0.0,0.0,0.0,0.0
16,60.0,-28.0,16.0,4.07,324.0,12.0,0.0,0.0,0.0,0.0
17,24.0,-64.0,-23.0,4.01,243.0,9.0,0.0,0.0,0.0,0.0
18,-48.0,47.0,4.0,3.93,189.0,7.0,0.0,0.0,0.0,0.0
19,-9.0,-79.0,-38.0,3.86,270.0,10.0,0.0,0.0,0.0,0.0
20,-60.0,-46.0,-8.0,3.78,108.0,4.0,0.0,0.0,0.0,0.0
21,-15.0,-31.0,-5.0,3.67,27.0,1.0,0.0,0.0,0.0,0.0
22,-18.0,-31.0,-8.0,3.64,27.0,1.0,0.0,0.0,0.0,0.0
23,21.0,-58.0,-20.0,3.64,27.0,1.0,0.0,0.0,0.0,0.0
24,-51.0,-73.0,19.0,3.62,216.0,8.0,0.0,0.0,0.0,0.0
25,12.0,-31.0,-2.0,3.62,27.0,1.0,0.0,0.0,0.0,0.0
26,-9.0,-34.0,-2.0,3.61,54.0,2.0,0.0,0.0,0.0,0.0
27,63.0,-7.0,1.0,3.59,54.0,2.0,0.0,0.0,0.0,0.0
28,45.0,-31.0,43.0,3.59,27.0,1.0,0.0,0.0,0.0,0.0
29,45.0,14.0,-29.0,3.56,54.0,2.0,0.0,0.0,0.0,0.0
30,0.0,50.0,-14.0,3.53,27.0,1.0,0.0,0.0,0.0,0.0
31,63.0,-52.0,13.0,3.5,27.0,1.0,0.0,0.0,0.0,0.0
