Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,39.0,-19.0,61.0,11.87,14931,0.99,1.00,0.95
2,6.0,-28.0,73.0,11.55,28998,1.00,1.00,0.97
2a,6.0,-19.0,76.0,11.36,,,,
2b,-12.0,-46.0,67.0,7.73,,,,
3,-15.0,-37.0,-23.0,9.64,3834,0.98,1.00,0.81
3a,-21.0,-31.0,-29.0,9.57,,,,
4,-18.0,-52.0,-20.0,9.51,3753,0.99,1.00,0.81
5,33.0,-22.0,16.0,7.50,648,0.92,1.00,0.00
6,-48.0,-31.0,22.0,6.78,3753,0.98,0.99,0.81
6a,-33.0,-22.0,16.0,5.10,,,,
7,48.0,-31.0,28.0,6.57,3213,0.97,0.99,0.77
8,-45.0,5.0,1.0,6.45,5022,0.98,0.99,0.85
8a,-54.0,2.0,10.0,6.13,,,,
9,-3.0,-1.0,46.0,6.34,3294,0.98,0.99,0.78
10,21.0,-37.0,-23.0,6.05,1053,0.95,1.00,0.31
11,-15.0,-61.0,-50.0,5.82,459,0.82,0.94,0.00
12,-3.0,-64.0,-17.0,5.54,405,0.80,1.00,0.00
13,-6.0,-67.0,-35.0,5.41,108,0.75,1.00,0.00
14,51.0,5.0,1.0,5.35,675,0.88,0.96,0.00
15,36.0,11.0,10.0,4.96,108,0.75,1.00,0.00
16,6.0,-22.0,10.0,4.94,189,0.71,1.00,0.00
17,-39.0,-19.0,1.0,4.75,81,0.33,1.00,0.00
18,-3.0,-40.0,-11.0,4.74,27,1.00,1.00,0.00
19,-12.0,-40.0,52.0,4.69,54,0.00,0.50,0.00
20,9.0,-7.0,40.0,4.53,27,0.00,1.00,0.00
