Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-30.0,-82.0,19.0,6.43,11259,0.52,0.84,0.85
1a,-21.0,-70.0,55.0,4.81,,,,
1b,-27.0,-73.0,43.0,4.45,,,,
1c,-12.0,-82.0,46.0,3.77,,,,
2,36.0,-85.0,25.0,5.43,25191,0.75,0.92,0.93
2a,54.0,-61.0,-11.0,5.41,,,,
2b,42.0,-88.0,10.0,5.39,,,,
2c,45.0,-76.0,10.0,4.94,,,,
3,-48.0,-61.0,-11.0,4.61,2052,0.00,0.16,0.20
3a,-51.0,-73.0,-5.0,3.80,,,,
3b,-45.0,-79.0,-5.0,3.67,,,,
4,-54.0,-37.0,1.0,3.92,216,0.00,0.00,0.00
5,33.0,-85.0,-20.0,3.88,27,0.00,0.00,0.00
6,30.0,-46.0,43.0,3.59,54,0.00,0.00,0.00
7,-42.0,-79.0,-8.0,3.56,27,0.00,0.00,0.00
8,-27.0,-67.0,-5.0,3.53,27,0.00,0.00,0.00
