Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,36.0,-82.0,19.0,9.51,58266,1.00,1.00,0.99
1a,-33.0,-88.0,10.0,9.45,,,,
1b,0.0,-82.0,13.0,8.40,,,,
1c,15.0,-70.0,13.0,7.33,,,,
2,27.0,-61.0,-11.0,9.29,5643,1.00,1.00,0.87
3,-30.0,-58.0,-8.0,8.23,6615,1.00,1.00,0.89
3a,-24.0,-49.0,-14.0,8.03,,,,
4,-42.0,-64.0,-2.0,8.07,3348,1.00,1.00,0.78
5,42.0,-46.0,-20.0,6.60,729,1.00,1.00,0.00
6,-9.0,47.0,-26.0,6.11,297,1.00,1.00,0.00
7,-27.0,26.0,55.0,5.47,54,1.00,1.00,0.00
8,33.0,-25.0,-23.0,5.45,27,1.00,1.00,0.00
9,-21.0,35.0,-14.0,5.43,297,1.00,1.00,0.00
10,0.0,-64.0,37.0,5.32,108,1.00,1.00,0.00
11,6.0,47.0,-26.0,5.32,81,1.00,1.00,0.00
12,24.0,2.0,-17.0,5.29,54,1.00,1.00,0.00
13,-24.0,29.0,55.0,5.25,54,1.00,1.00,0.00
14,-21.0,-67.0,49.0,5.21,54,1.00,1.00,0.00
15,48.0,-61.0,-8.0,5.20,135,1.00,1.00,0.00
16,-39.0,11.0,-23.0,5.15,54,1.00,1.00,0.00
17,-15.0,-76.0,-14.0,5.12,27,1.00,1.00,0.00
18,-51.0,-67.0,25.0,5.09,27,1.00,1.00,0.00
19,-30.0,23.0,58.0,5.06,27,1.00,1.00,0.00
