Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,45.0,-73.0,-8.0,10.21,26838.0,994.0,1.0,1.0,0.97,1.0
1a,48.0,-58.0,-14.0,9.63,,,,,,
1b,45.0,-40.0,-17.0,7.61,,,,,,
1c,42.0,-58.0,13.0,6.75,,,,,,
2,-45.0,-70.0,-2.0,10.19,23409.0,867.0,1.0,1.0,0.97,1.0
2a,-42.0,-46.0,-14.0,8.64,,,,,,
2b,-45.0,-67.0,-14.0,8.41,,,,,,
3,-27.0,-46.0,-8.0,9.43,4212.0,156.0,0.99,0.99,0.83,0.99
4,27.0,-43.0,-11.0,8.84,10503.0,389.0,0.99,0.99,0.93,0.99
4a,18.0,-88.0,-5.0,8.2,,,,,,
4b,24.0,-97.0,13.0,5.5,,,,,,
5,-15.0,-91.0,-8.0,8.13,4374.0,162.0,0.99,0.99,0.83,0.99
5a,-15.0,-103.0,7.0,5.01,,,,,,
6,-6.0,-76.0,7.0,7.52,12528.0,464.0,1.0,1.0,0.94,1.0
6a,15.0,-73.0,7.0,6.67,,,,,,
6b,3.0,-73.0,7.0,6.38,,,,,,
6c,15.0,-70.0,16.0,6.3,,,,,,
7,21.0,-55.0,16.0,6.63,1026.0,38.0,0.95,0.97,0.29,0.97
8,39.0,-79.0,22.0,6.48,1188.0,44.0,0.95,0.95,0.39,0.95
9,3.0,41.0,-20.0,6.38,4131.0,153.0,0.99,0.99,0.82,0.99
9a,9.0,47.0,-8.0,6.03,,,,,,
9b,-6.0,38.0,-8.0,5.98,,,,,,
9c,-3.0,26.0,-5.0,4.89,,,,,,
10,-15.0,-55.0,16.0,6.08,567.0,21.0,0.9,0.9,0.0,0.95
11,-42.0,2.0,28.0,6.01,1566.0,58.0,0.97,0.97,0.53,0.97
12,6.0,26.0,43.0,5.86,1431.0,53.0,0.96,0.96,0.49,0.96
13,-21.0,23.0,-17.0,5.5,1539.0,57.0,0.96,0.96,0.53,0.96
13a,-18.0,38.0,-17.0,5.48,,,,,,
13b,-9.0,20.0,-17.0,5.33,,,,,,
14,-33.0,-88.0,22.0,5.49,918.0,34.0,0.94,0.97,0.21,0.97
15,-42.0,14.0,1.0,5.45,2214.0,82.0,0.98,0.98,0.67,0.98
15a,-33.0,17.0,7.0,5.41,,,,,,
16,45.0,17.0,1.0,5.36,540.0,20.0,0.95,0.95,0.0,0.95
17,33.0,-52.0,46.0,5.35,783.0,29.0,0.93,0.93,0.07,0.93
18,-42.0,-43.0,43.0,5.33,1998.0,74.0,0.97,0.97,0.64,0.97
18a,-33.0,-49.0,46.0,5.24,,,,,,
19,6.0,8.0,55.0,5.31,108.0,4.0,0.75,0.75,0.0,0.75
20,15.0,-76.0,-50.0,5.06,324.0,12.0,0.83,0.83,0.0,0.83
21,-21.0,-70.0,31.0,5.06,135.0,5.0,0.8,0.8,0.0,0.8
22,45.0,14.0,19.0,5.0,162.0,6.0,0.83,0.83,0.0,0.83
23,6.0,-70.0,37.0,4.99,324.0,12.0,0.83,0.83,0.0,0.92
24,0.0,-28.0,28.0,4.82,270.0,10.0,0.8,0.8,0.0,0.8
25,30.0,-70.0,34.0,4.79,135.0,5.0,0.6,0.6,0.0,0.6
26,42.0,-40.0,46.0,4.74,351.0,13.0,0.85,0.85,0.0,0.85
27,0.0,59.0,-20.0,4.74,54.0,2.0,0.5,0.5,0.0,0.5
28,-6.0,17.0,49.0,4.67,54.0,2.0,0.0,0.0,0.0,0.0
29,60.0,-22.0,40.0,4.64,27.0,1.0,0.0,0.0,0.0,0.0
30,-6.0,23.0,34.0,4.62,54.0,2.0,0.0,0.0,0.0,0.0
31,45.0,44.0,13.0,4.59,27.0,1.0,0.0,0.0,0.0,0.0
32,-45.0,-31.0,37.0,4.57,54.0,2.0,0.0,0.5,0.0,0.5
33,48.0,-43.0,13.0,4.54,27.0,1.0,0.0,0.0,0.0,0.0
34,39.0,-46.0,52.0,4.51,27.0,1.0,0.0,0.0,0.0,0.0
35,-3.0,11.0,61.0,4.51,27.0,1.0,0.0,0.0,0.0,0.0
