Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,45.0,-73.0,-8.0,10.21,29781.0,1103.0,0.98,0.99,0.97,0.99
1a,48.0,-58.0,-14.0,9.63,,,,,,
1b,45.0,-40.0,-17.0,7.61,,,,,,
1c,42.0,-58.0,13.0,6.75,,,,,,
2,-45.0,-70.0,-2.0,10.19,26298.0,974.0,0.97,0.99,0.97,0.99
2a,-42.0,-46.0,-14.0,8.64,,,,,,
2b,-45.0,-67.0,-14.0,8.41,,,,,,
3,-27.0,-46.0,-8.0,9.43,4860.0,180.0,0.89,0.94,0.83,0.95
4,27.0,-43.0,-11.0,8.84,13095.0,485.0,0.95,0.97,0.93,0.98
4a,18.0,-88.0,-5.0,8.2,,,,,,
4b,24.0,-97.0,13.0,5.5,,,,,,
5,-15.0,-91.0,-8.0,8.13,5994.0,222.0,0.89,0.95,0.86,0.95
5a,-15.0,-103.0,7.0,5.01,,,,,,
6,-6.0,-76.0,7.0,7.52,19170.0,710.0,0.96,0.98,0.95,0.98
6a,15.0,-73.0,7.0,6.67,,,,,,
6b,3.0,-73.0,7.0,6.38,,,,,,
6c,15.0,-70.0,16.0,6.3,,,,,,
7,21.0,-55.0,16.0,6.63,1296.0,48.0,0.79,0.85,0.35,0.88
8,39.0,-79.0,22.0,6.48,1539.0,57.0,0.74,0.79,0.46,0.82
9,3.0,41.0,-20.0,6.38,6615.0,245.0,0.89,0.95,0.87,0.96
9a,9.0,47.0,-8.0,6.03,,,,,,
9b,-6.0,38.0,-8.0,5.98,,,,,,
9c,-3.0,26.0,-5.0,4.89,,,,,,
10,-15.0,-55.0,16.0,6.08,783.0,29.0,0.69,0.79,0.0,0.83
11,-42.0,2.0,28.0,6.01,3024.0,112.0,0.77,0.88,0.71,0.9
12,6.0,26.0,43.0,5.86,4995.0,185.0,0.86,0.93,0.83,0.94
12a,6.0,8.0,55.0,5.31,,,,,,
12b,-6.0,17.0,49.0,4.67,,,,,,
12c,-6.0,23.0,34.0,4.62,,,,,,
13,-21.0,23.0,-17.0,5.5,2835.0,105.0,0.77,0.89,0.7,0.9
13a,-18.0,38.0,-17.0,5.48,,,,,,
13b,-9.0,20.0,-17.0,5.33,,,,,,
14,-33.0,-88.0,22.0,5.49,1377.0,51.0,0.71,0.78,0.37,0.78
15,-42.0,14.0,1.0,5.45,3834.0,142.0,0.82,0.92,0.77,0.93
15a,-33.0,17.0,7.0,5.41,,,,,,
16,45.0,17.0,1.0,5.36,1674.0,62.0,0.6,0.79,0.48,0.82
17,33.0,-52.0,46.0,5.35,3888.0,144.0,0.82,0.91,0.78,0.92
17a,42.0,-40.0,46.0,4.74,,,,,,
18,-42.0,-43.0,43.0,5.33,5427.0,201.0,0.87,0.94,0.84,0.95
18a,-33.0,-49.0,46.0,5.24,,,,,,
18b,-45.0,-31.0,37.0,4.57,,,,,,
18c,-54.0,-28.0,40.0,4.41,,,,,,
19,15.0,-76.0,-50.0,5.06,756.0,28.0,0.43,0.61,0.0,0.64
20,-21.0,-70.0,31.0,5.06,459.0,17.0,0.24,0.35,0.0,0.41
21,45.0,14.0,19.0,5.0,621.0,23.0,0.22,0.52,0.0,0.61
22,0.0,-28.0,28.0,4.82,783.0,29.0,0.41,0.66,0.0,0.69
23,30.0,-70.0,34.0,4.79,594.0,22.0,0.32,0.45,0.0,0.55
24,60.0,-22.0,40.0,4.64,486.0,18.0,0.0,0.33,0.0,0.44
24a,51.0,-25.0,40.0,4.24,,,,,,
25,45.0,44.0,13.0,4.59,567.0,21.0,0.05,0.48,0.0,0.52
26,48.0,-43.0,13.0,4.54,135.0,5.0,0.0,0.0,0.0,0.0
27,12.0,32.0,22.0,4.38,135.0,5.0,0.0,0.0,0.0,0.0
28,6.0,-70.0,-41.0,4.22,108.0,4.0,0.0,0.0,0.0,0.0
29,54.0,-28.0,43.0,4.07,54.0,2.0,0.0,0.0,0.0,0.0
30,33.0,29.0,-2.0,4.04,27.0,1.0,0.0,0.0,0.0,0.0
31,3.0,-73.0,-14.0,4.03,27.0,1.0,0.0,0.0,0.0,0.0
32,9.0,-70.0,46.0,4.01,27.0,1.0,0.0,0.0,0.0,0.0
33,51.0,-34.0,43.0,4.0,27.0,1.0,0.0,0.0,0.0,0.0
