Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,21.0,-94.0,4.0,6.70,4401,1.00,1.00,0.83
1a,27.0,-88.0,-5.0,6.54,,,,
2,-51.0,-37.0,4.0,6.67,378,1.00,1.00,0.00
3,-24.0,-88.0,-11.0,6.48,4482,1.00,1.00,0.84
3a,-21.0,-91.0,4.0,6.34,,,,
3b,-12.0,-88.0,-8.0,6.25,,,,
4,-60.0,-31.0,25.0,6.13,594,1.00,1.00,0.00
4a,-57.0,-37.0,34.0,5.85,,,,
5,3.0,-67.0,61.0,5.85,243,1.00,1.00,0.00
6,3.0,-64.0,64.0,5.56,27,1.00,1.00,0.00
7,63.0,-34.0,28.0,5.53,27,1.00,1.00,0.00
8,-3.0,-55.0,67.0,5.52,27,1.00,1.00,0.00
