Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-18.0,-13.0,-14.0,4.89,486,0.06,0.11,0.00
2,3.0,-67.0,46.0,4.53,1512,0.00,0.05,0.00
3,-6.0,62.0,25.0,4.49,1431,0.00,0.15,0.00
3a,-9.0,62.0,34.0,4.35,,,,
3b,-12.0,56.0,40.0,3.80,,,,
4,-39.0,17.0,-26.0,4.18,810,0.00,0.00,0.00
4a,-42.0,17.0,-38.0,3.76,,,,
5,21.0,-7.0,-11.0,4.04,54,0.00,0.00,0.00
6,-51.0,38.0,4.0,4.01,189,0.00,0.00,0.00
7,-54.0,-61.0,-32.0,3.95,81,0.00,0.00,0.00
8,48.0,38.0,-11.0,3.85,135,0.00,0.00,0.00
9,18.0,-13.0,-14.0,3.76,54,0.00,0.00,0.00
10,57.0,-40.0,13.0,3.76,216,0.00,0.00,0.00
11,-18.0,20.0,4.0,3.71,27,0.00,0.00,0.00
12,54.0,-7.0,46.0,3.71,27,0.00,0.00,0.00
13,9.0,35.0,25.0,3.64,54,0.00,0.00,0.00
14,-54.0,-58.0,40.0,3.51,27,0.00,0.00,0.00
